species,temp_diurnal_range,precip_seasonality,soil_pH,solar_radiation
albicans,79,46,62.725902557373,17312.333984375
albicans,86,60,62.1355438232422,18776.25
albicans,112,77,56,16349.4169921875
albicans,74,31,57,16719.416015625
albicans,90,46,56,15446.25
albicans,83,47,58.0753021240234,17478.416015625
albicans,106,59,40.7319259643555,13964.8330078125
albicans,60,58,52.4789161682129,19260.25
albicans,119,53,52.6897583007812,14343
albicans,99,69,46.3343391418457,16124.5830078125
albicans,107,53,51.5030136108398,17962.25
albicans,105,66,49.2560234069824,14631.6669921875
albicans,119,79,50.7379531860352,14879.3330078125
albicans,119,79,50.2379531860352,14925.6669921875
albicans,114,80,55,14576.9169921875
albicans,108,63,56,15941.1669921875
albicans,83,45,51,15876.0830078125
albicans,91,58,63.0090370178223,18537.166015625
albicans,124,74,53.2439765930176,14798.4169921875
albicans,122,79,54.5210838317871,17715.666015625
albicans,77,54,NA,17908.666015625
albicans,107,57,47,13830.1669921875
albicans,96,60,45,16423.5
albicans,96,62,48.6174697875977,14769.75
albicans,82,73,49.8644561767578,16029
albicans,118,69,47.4397583007812,15038.6669921875
albicans,80,61,54,18752.666015625
albicans,74,59,65.5331344604492,18309.25
albicans,104,87,59.033130645752,17583.833984375
albicans,96,63,69,19946.25
albicans,106,40,60.4849395751953,17540.5
albicans,102,47,57,16055.25
albicans,95,67,52.7198791503906,16437.5
albicans,83,66,63,18428.5
albicans,69,64,54.6897583007812,18140
albicans,69,64,54.7078323364258,18569.083984375
albicans,86,66,64.7018051147461,18875.166015625
albicans,67,59,55.7680740356445,19375.916015625
albicans,78,62,56,18112.416015625
albicans,82,63,61.1626510620117,18481.583984375
albicans,102,86,54,16625.166015625
albicans,129,70,49.7771072387695,15478.25
albicans,134,71,51,14826.3330078125
albicans,103,78,53.171688079834,15650.5
albicans,102,81,53.9487953186035,16612.083984375
albicans,104,83,55.225902557373,16302
albicans,117,84,55,17390.583984375
albicans,80,64,61,18731.5
albicans,104,89,59.9337348937988,17659.083984375
albicans,63,20,51.9487953186035,17052.5
albicans,102,62,43.6114463806152,14017.8330078125
albicans,107,61,60.3855438232422,15251.5
albicans,98,70,51.7379531860352,16420
albicans,134,69,54.8765068054199,14568.9169921875
albicans,83,45,50,13433.1669921875
albicans,83,44,50.5632514953613,13476.5830078125
albicans,133,69,45,14450.4169921875
albicans,92,79,66,18147.166015625
albicans,93,54,64.1415634155273,17853.583984375
albicans,92,58,64,18104.25
albicans,103,89,54.0301208496094,17372.416015625
albicans,114,85,53.5873489379883,15000.1669921875
albicans,114,79,53.8102416992188,15636.5
albicans,117,74,54,15520.75
albicans,109,61,46,16102.3330078125
albicans,109,53,55.7048187255859,15042.3330078125
albicans,87,60,58.9457817077637,18917.666015625
albicans,113,78,52,15641.4169921875
albicans,112,68,57.8674697875977,18418.083984375
albicans,89,41,43,14932.9169921875
albicans,68,21,64,17053.666015625
albicans,82,41,50.2018089294434,14752.5
albicans,77,44,51,15331.5830078125
albicans,138,92,55.7530136108398,17102
albicans,123,79,56.3674697875977,17849.5
albicans,115,69,55,15249.0830078125
albicans,78,63,61,19005.75
albicans,102,88,59.0512046813965,17471.333984375
albicans,79,24,57.0572280883789,16050.5
albicans,125,78,51,14700.5
albicans,117,75,50.0632514953613,13983.6669921875
albicans,117,42,54,14405.0830078125
albicans,126,69,55.0030136108398,15331.0830078125
albicans,63,16,52.930721282959,16899.083984375
albicans,NA,NA,56,NA
albicans,73,17,55,17175.916015625
albicans,70,9,54.1234931945801,17010.916015625
albicans,NA,NA,54.9246978759766,NA
albicans,75,23,57.9518089294434,16351.8330078125
albicans,127,91,59.3915672302246,15798.6669921875
albicans,96,65,NA,15069.5
albicans,97,42,49,17543.833984375
albicans,74,62,NA,19053.583984375
albicans,84,47,NA,14802.0830078125
albicans,111,52,47.4638557434082,17700.25
albicans,90,70,NA,15029.5830078125
albicans,119,87,55.4789161682129,15202.5830078125
albicans,128,87,53,15491.8330078125
