longitude,latitude,domains
-53.654819,-22.917324,AF
-37.3430555556,-10.7538888889,out
-37.051389,-10.519472,out
-38.316667,-12.683333,AF
-37.301767,-11.215237,AF
-44.087933,-21.057856,AF
-43.916844,-19.893565,AF
-45.478333,-21.116111,out
-44.683972,-23.281867,AF
-40.596389,-20.054167,AF
-40.683611,-19.931111,AF
-42.21,-22.32,AF
-40.925804,-20.176442,AF
-47.092482,-23.714883,AF
-44.36088,-22.78053,AF
-43.0406,-22.6531,AF
-48.957748,-26.211797,AF
-39.602222,-13.03,AF
-40.525,-20.267778,AF
-49.31727,-24.705662,AF
-48.598465,-27.365584,AF
-48.506147,-24.753438,AF
-39.5653,-15.3917,AF
-48.7786111,-26.8225,AF
-49.421389,-28.136944,AF
-43.864207,-22.691518,AF
-51.254608,-23.445185,AF
-41.085833,-20.381111,AF
-48.96,-27.4497222,AF
-39.3342,-15.4294,AF
-43.805046,-21.909575,AF
-46.381111,-21.952778,AF
-49.499973,-28.009949,AF
